[2024-02-21 09:32:22,858] <INFO> Начало работы программы
[2024-02-21 09:32:22,864] <INFO> COM1 - FabulaTech Virtual Serial Port Control (COM1)
[2024-02-21 09:32:22,864] <INFO> COM2 - FabulaTech Virtual Serial Port Control (COM2)
[2024-02-21 09:32:22,864] <INFO> COM3 - FabulaTech Virtual Serial Port Control (COM3)
[2024-02-21 09:32:22,866] <INFO> Успешное добавление прослушивания для COM1 на Принтер 192.168.9.76:9100
[2024-02-21 09:32:22,866] <INFO> Успешное подключение к COM1
[2024-02-21 09:32:22,867] <INFO> Успешное добавление прослушивания для COM2 на Принтер 192.168.9.69:9100
[2024-02-21 09:32:22,869] <INFO> Успешное подключение к COM2
[2024-02-21 09:32:22,870] <INFO> Успешное добавление прослушивания для COM3 на Принтер 192.168.9.69:9100
[2024-02-21 09:32:22,870] <INFO> Успешное подключение к COM3
[2024-02-21 09:32:22,871] <ERROR> COM-порт используется или недоступен: could not open port 'COM4': FileNotFoundError(2, 'Не удается найти указанный файл.', None, 2)
[2024-02-21 09:32:22,871] <ERROR> COM-порт используется или недоступен: could not open port 'COM5': FileNotFoundError(2, 'Не удается найти указанный файл.', None, 2)
[2024-02-21 09:32:22,871] <INFO> Конец работы программы
[2024-02-21 09:32:36,754] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:36,855] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:36,957] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:37,057] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:37,157] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:37,259] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:37,359] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:37,460] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:37,561] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:37,664] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:37,763] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:37,866] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:37,967] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:38,068] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:38,169] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:38,271] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:38,370] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:38,473] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:38,575] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:38,676] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:38,776] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:38,877] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:38,978] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:39,079] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:39,180] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:39,282] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:39,383] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:39,484] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:39,585] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:39,686] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:39,787] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:39,888] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:39,990] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:40,089] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:40,193] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:40,294] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:40,394] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:40,495] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:40,594] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:40,698] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:40,799] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:40,899] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:41,000] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:41,102] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:41,203] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:41,304] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:41,403] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:41,506] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:41,605] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:41,708] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:41,809] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:41,910] <INFO> COM3 получил: ['0.445', 'kg\r\n']
[2024-02-21 09:32:42,012] <INFO> COM3 получил: ['0.445', 'kg\r\n']
